link,Nome,Endereco
https://www.smartfit.com.br/academias/pinhais,Pinhais,"Avenida Maringá, Nº350 - Vila Emiliano Perneta"
https://www.smartfit.com.br/academias/bacacheri,Bacacheri,"Avenida Monteiro Tourinho, 54 - Bacacheri"
https://www.smartfit.com.br/academias/embu-das-artes,Embu das Artes,"Avenida Elias Yazbek, 1276 - Tingidor"
https://www.smartfit.com.br/academias/granja-viana-km-25,Granja Viana Km 25,"Rua Mesopotâmia, 109 - Jardim Passargada"
https://www.smartfit.com.br/academias/valo-velho,Valo Velho,"Rodovia Armando Salles, nº6033 - Recreio Campestre"
https://www.smartfit.com.br/academias/itapecerica-da-serra,Itapecerica da Serra,"R. Carlos Domingues Tantico, 10  - Jardim Tereza Maria"
https://www.smartfit.com.br/academias/jardim-clementino,Jardim Clementino,"Estrada Kizaemom Takeuti, 1300 - Jardim Clementino"
https://www.smartfit.com.br/academias/cotia,Cotia,"Av. Nossa senhora de Fatima, 833 - Vila Monte Serrat"
https://www.smartfit.com.br/academias/capao-redondo,Capão Redondo,"Av. Comendador Sant'Anna, 634 - Capão Redondo"
https://www.smartfit.com.br/academias/capelinha,Capelinha,"Estrada de Itapecerica, 3790 - Vila Prel"
https://www.smartfit.com.br/academias/aracatuba,Araçatuba,"Av. Joaquim Pompeu de Toledo, 601 - Vila Estádio"
https://www.smartfit.com.br/academias/general-carneiro,General Carneiro,"Avenida General Carneiro, 1120 (Dentro do supermercado Tauste) - Vila Lucy"
https://www.smartfit.com.br/academias/shopping-cidade-sorocaba,Shopping Cidade Sorocaba,"Avenida Itavuvu, 3365 - Jardim Santa Cecília"
https://www.smartfit.com.br/academias/campolim,Campolim,"Avenida Antônio Carlos Comitre, 2051 - Parque Campolim"
https://www.smartfit.com.br/academias/pereira-inacio,Pereira Inácio,"Avenida Comendador Pereira Inácio, 820 - Jardim Vergueiro"
